dTAlk_dK0,dTCO2_dK0,dHin_dK0,dpCO2in_dK0,dfCO2in_dK0,dHCO3in_dK0,dCO3in_dK0,dCO2in_dK0,dRFin_dK0,dOmegaCAin_dK0,dOmegaARin_dK0,dxCO2in_dK0,dHout_dK0,dpCO2out_dK0,dfCO2out_dK0,dHCO3out_dK0,dCO3out_dK0,dCO2out_dK0,dRFout_dK0,dOmegaCAout_dK0,dOmegaARout_dK0,dxCO2out_dK0
0,0,0,-16309.327196319,-16256.669863733,0,0,0,-5.07829072910895e-08,0,0,-16794.7710506862,0,-6663.05575956685,-6638.0566196291,0,0,-2.61228946970625e-11,2.62535091705478e-08,0,0,-6754.78775891868
0,6847.99903188725,201.164339583628,0,0,10919.6061589099,-4476.60712688916,404.999999999976,122.309646399522,-109.21978265049,-71.5128989088582,0,166.480476560257,2484.59234444161,2475.27039458194,10903.1908273377,-4391.7077892852,336.515993832625,130.463523698864,-79.1768258997451,-51.3550525396471,2518.79836515493
0,6876.45954924258,198.246523376156,0,0,10977.1680267673,-4499.41701190932,398.708534522572,120.832305195825,-109.776295789474,-71.8772822365262,0,163.971877198214,2443.14903567295,2433.9825770939,10960.2544331705,-4414.89626262339,331.101378690961,128.712865663412,-79.5948841596505,-51.6262102130992,2476.78449571421
0,0,0,-15428.9152966435,-15379.1005179922,0,0,0,-9.18480977548717e-08,0,0,-15888.1538673178,0,-6315.87577064398,-6292.17921640274,0,0,0,7.41367751502634e-08,0,0,-6402.82805395031
0,0,0,-29251.9130402327,-29157.4684506319,0,0,0,2.2259318571367e-07,0,0,-30122.5903675636,0,-12218.8060782027,-12172.9623011078,0,0,-5.2245789394125e-11,-6.06834843812762e-08,0,0,-12387.0255186021
60117.8791116681,55478.3698420552,0,0,0,50028.8605724443,5044.50926961067,404.999999999976,91.7269819034583,123.07539848557,80.5850214720846,0,-7.59533625940017,2046.06314902336,2038.3865182359,50278.3938923063,4878.78508191511,321.19086783405,96.8249187434492,87.9582011297557,57.0507593475812,2074.23182571338
59183.9789610296,54616.5420677265,0,0,0,49251.6881053709,4966.1454278327,398.708534522572,92.3010399791741,121.163485841895,79.3331748533524,0,-7.6435003555364,2013.73994049949,2006.1845832603,49498.8236836909,4801.39768335122,316.320700683365,97.4081733878219,86.5630061675798,56.1458189212487,2041.46361527916
-9124.76754494411,0,193.860520745123,0,0,6054.1116809799,-6459.11168097805,404.999999999976,122.543439475611,-157.588717060789,-103.18301061272,0,153.791998735435,2517.28704925615,2507.84243202961,6012.64366107845,-6349.5594096185,336.915748543136,130.416362244149,-114.474364879651,-74.2494657500105,2551.94318636519
-9196.7868767744,0,190.877473124962,0,0,6122.50953200627,-6521.21806652793,398.708534522572,120.851226162553,-159.103982023443,-104.175147636485,0,151.331424472532,2475.27132030837,2465.98434202759,6080.83964804377,-6412.31280307362,331.473155026979,128.439011451398,-115.605727608368,-74.9832813799511,2509.34901608952
0,0,0,-17773.6232994502,-17716.2382472,0,0,0,3.38657206852718e-07,0,0,-18302.6516337714,0,-7279.45985534424,-7252.14802693502,0,0,2.61228946970625e-11,1.64704851064979e-07,0,0,-7379.67804814044
0,6847.99903188056,185.869897894016,0,0,10919.6061589032,-4476.6071268879,404.999999999976,122.309640245177,-109.219782650451,-71.5128989088386,0,147.588478169229,2484.59234389115,2475.27039403316,10903.1908270735,-4391.70778899806,336.515993804961,130.463530597738,-79.1768258945531,-51.3550525362838,2518.79836459737
0,6876.45954922586,183.173922048206,0,0,10977.168026754,-4499.41701190974,398.708534522572,120.832304442179,-109.776295789474,-71.8772822365262,0,145.364551557748,2443.14903514631,2433.98257656893,10960.2544328997,-4414.89626234127,331.101378664577,128.712872833885,-79.5948841545566,-51.6262102097947,2476.78449517963
0,0,0,-16969.3758112455,-16914.5874036616,0,0,-2.61228946970625e-11,3.99758657549147e-07,0,0,-17474.4658803146,0,-6961.41313333117,-6935.29458542193,0,0,0,-1.27531971911059e-07,0,0,-7057.25269524832
0,0,0,-29251.9130391444,-29157.4684495452,0,0,0,-6.12320651699145e-08,0,0,-30122.5903664434,0,-12218.8060793579,-12172.962302258,0,0,0,-3.89231130986231e-08,0,0,-12387.0255197757
60117.8791116681,55478.3698420552,0,0,0,50028.8605724443,5044.50926961067,404.999999999976,91.7269819034583,123.07539848557,80.5850214720846,0,-7.59533625940017,2046.06314902336,2038.3865182359,50278.3938923063,4878.78508191511,321.19086783405,96.8249187434492,87.9582011297557,57.0507593475812,2074.23182571338
59183.9789610296,54616.5420677265,0,0,0,49251.6881053709,4966.1454278327,398.708534522572,92.3010399791741,121.163485841895,79.3331748533524,0,-7.6435003555364,2013.73994049949,2006.1845832603,49498.8236836909,4801.39768335122,316.320700683365,97.4081733878219,86.5630061675798,56.1458189212487,2041.46361527916
-9124.76754494411,0,193.860520745123,0,0,6054.1116809799,-6459.11168097805,404.999999999976,122.543439475611,-157.588717060789,-103.18301061272,0,153.791998735435,2517.28704925615,2507.84243202961,6012.64366107845,-6349.5594096185,336.915748543136,130.416362244149,-114.474364879651,-74.2494657500105,2551.94318636519
-9196.7868767744,0,190.877473124962,0,0,6122.50953200627,-6521.21806652793,398.708534522572,120.851226162553,-159.103982023443,-104.175147636485,0,151.331424472532,2475.27132030837,2465.98434202759,6080.83964804377,-6412.31280307362,331.473155026979,128.439011451398,-115.605727608368,-74.9832813799511,2509.34901608952
0,0,0,-17773.6232994502,-17716.2382472,0,0,0,3.38657206852718e-07,0,0,-18302.6516337714,0,-7279.45985534424,-7252.14802693502,0,0,2.61228946970625e-11,1.64704851064979e-07,0,0,-7379.67804814044
0,6847.99903188056,185.869897894016,0,0,10919.6061589032,-4476.6071268879,404.999999999976,122.309640245177,-109.219782650451,-71.5128989088386,0,147.588478169229,2484.59234389115,2475.27039403316,10903.1908270735,-4391.70778899806,336.515993804961,130.463530597738,-79.1768258945531,-51.3550525362838,2518.79836459737
0,6876.45954922586,183.173922048206,0,0,10977.168026754,-4499.41701190974,398.708534522572,120.832304442179,-109.776295789474,-71.8772822365262,0,145.364551557748,2443.14903514631,2433.98257656893,10960.2544328997,-4414.89626234127,331.101378664577,128.712872833885,-79.5948841545566,-51.6262102097947,2476.78449517963
0,0,0,-16969.3758112455,-16914.5874036616,0,0,-2.61228946970625e-11,3.99758657549147e-07,0,0,-17474.4658803146,0,-6961.41313333117,-6935.29458542193,0,0,0,-1.27531971911059e-07,0,0,-7057.25269524832
0,0,0,-29251.9130391444,-29157.4684495452,0,0,0,-6.12320651699145e-08,0,0,-30122.5903664434,0,-12218.8060793579,-12172.962302258,0,0,0,-3.89231130986231e-08,0,0,-12387.0255197757
86081.1930804844,77337.6474064595,0,0,0,67784.1017324467,9148.54567401799,404.999999999976,68.3352795491137,223.205240433635,146.146177988073,0,-5.99118100064189,2051.4937488982,2043.79674302611,68042.5859634664,8977.56877367412,317.49266932333,70.515532658982,161.853983439049,104.980462765571,2079.73719005139
84743.9662791938,76136.2470638339,0,0,0,66731.1107794282,9006.42774987696,398.708534522572,68.9019512067117,219.737862496418,143.875872720251,0,-6.04246189307629,2018.57719818033,2011.00369201868,66987.3739794665,8836.23426992089,312.638814450003,71.1032693644821,159.30590466554,103.327747873282,2046.36746872796
-9095.22477822707,0,262.5967076789,0,0,6005.72111928908,-6410.72111928848,404.999999999976,123.27788599704,-156.408089304041,-102.409981117801,0,197.6090881989,2528.17941411616,2518.6939297922,5966.11784177145,-6304.44589568961,338.328053918816,131.019731368303,-113.661026422387,-73.7219245315955,2562.98550920858
-9167.15872595914,0,258.554517321302,0,0,6073.97748066606,-6472.68601518772,398.708534522572,121.58132643811,-157.919902217317,-103.399857872836,0,194.447797009109,2486.0464695142,2476.71906391765,6034.24210365066,-6367.10717536418,332.865071719655,129.042107941349,-114.790728458475,-74.4546630160978,2520.27250954089
0,0,0,-12749.9565852832,-12708.7912633608,0,0,0,2.45947053572843e-07,0,0,-13129.4564869824,0,-5197.55496410108,-5178.05424122449,0,0,0,-5.2245789394125e-09,0,0,-5269.11103774055
0,6838.5389617915,251.710091808988,0,0,10883.1212382002,-4449.5822762756,404.999999999976,123.019205348792,-108.560433231048,-71.0811823531773,0,189.586773354175,2495.48944752785,2486.12661279215,10867.8208068327,-4367.19857542718,337.916730387554,131.028858562702,-78.7349563920818,-51.0684506012235,2529.8454914574
0,6867.13663221179,248.056994151385,0,0,10940.9139117147,-4472.48581388117,398.708534522572,121.53610993724,-109.11923129581,-71.4470617620716,0,186.729849978029,2453.92775432323,2444.7208550351,10925.1743861324,-4390.51955982329,332.481805906948,129.276379786854,-79.1554036554268,-51.3411578113641,2487.71160775158
0,0,0,-11730.3744131986,-11692.5009792176,0,0,0,7.99621806677083e-08,0,0,-12079.5266559476,0,-4796.23490705659,-4778.23989816862,0,0,0,2.83955865357069e-08,0,0,-4862.26590443341
0,0,0,-29123.1340651433,-29029.1052595418,0,0,0,-1.22255147182253e-07,0,0,-29989.9783120987,0,-12210.4362148568,-12164.6238406779,0,0,0,1.19668980607243e-07,0,0,-12378.5404251999
86081.1930804844,77337.6474064595,0,0,0,67784.1017324467,9148.54567401799,404.999999999976,68.3352795491137,223.205240433635,146.146177988073,0,-5.99118100064189,2051.4937488982,2043.79674302611,68042.5859634664,8977.56877367412,317.49266932333,70.515532658982,161.853983439049,104.980462765571,2079.73719005139
84743.9662791938,76136.2470638339,0,0,0,66731.1107794282,9006.42774987696,398.708534522572,68.9019512067117,219.737862496418,143.875872720251,0,-6.04246189307629,2018.57719818033,2011.00369201868,66987.3739794665,8836.23426992089,312.638814450003,71.1032693644821,159.30590466554,103.327747873282,2046.36746872796
-9095.22477822707,0,262.5967076789,0,0,6005.72111928908,-6410.72111928848,404.999999999976,123.27788599704,-156.408089304041,-102.409981117801,0,197.6090881989,2528.17941411616,2518.6939297922,5966.11784177145,-6304.44589568961,338.328053918816,131.019731368303,-113.661026422387,-73.7219245315955,2562.98550920858
-9167.15872595914,0,258.554517321302,0,0,6073.97748066606,-6472.68601518772,398.708534522572,121.58132643811,-157.919902217317,-103.399857872836,0,194.447797009109,2486.0464695142,2476.71906391765,6034.24210365066,-6367.10717536418,332.865071719655,129.042107941349,-114.790728458475,-74.4546630160978,2520.27250954089
0,0,0,-12749.9565852832,-12708.7912633608,0,0,0,2.45947053572843e-07,0,0,-13129.4564869824,0,-5197.55496410108,-5178.05424122449,0,0,0,-5.2245789394125e-09,0,0,-5269.11103774055
0,6838.5389617915,251.710091808988,0,0,10883.1212382002,-4449.5822762756,404.999999999976,123.019205348792,-108.560433231048,-71.0811823531773,0,189.586773354175,2495.48944752785,2486.12661279215,10867.8208068327,-4367.19857542718,337.916730387554,131.028858562702,-78.7349563920818,-51.0684506012235,2529.8454914574
