dTAlk_dKW,dTCO2_dKW,dHin_dKW,dpCO2in_dKW,dfCO2in_dKW,dHCO3in_dKW,dCO3in_dKW,dCO2in_dKW,dRFin_dKW,dOmegaCAin_dKW,dOmegaARin_dKW,dxCO2in_dKW,dHout_dKW,dpCO2out_dKW,dfCO2out_dKW,dHCO3out_dKW,dCO3out_dKW,dCO2out_dKW,dRFout_dKW,dOmegaCAout_dKW,dOmegaARout_dKW,dxCO2out_dKW
0,0,5286471311459.42,375319244623086,374107465003750,37946476500557.6,-48951379566643.3,11004903068065.9,-2713187050111.55,-1194310531426.06,-781988447760.589,386490546696998,5571284452676.56,294017549483912,292914424111210,48194341029109.8,-60370250619526,12175909592833.2,-3544229508508.87,-1088397737775.96,-705948014109.589,298065364575927
125892541177564,0,0,0,0,0,0,0,-5346243721184.28,0,0,0,1053764017814.81,43377205670702.9,43214458595811.6,19870430436207.8,-21666775368333.6,1796344930990.14,-6433644910240.55,-390624008578.346,-253363484274.705,43974390798135.6
125892541177564,0,0,0,0,0,0,0,-5379705684439.19,0,0,0,1063135839530.57,43083162826392.8,42921518971836.3,19713550748329.9,-21497718719609.9,1784167973900.85,-6470933060163.51,-387576135294.899,-251386596581.088,43676299790345.3
158501527900372,0,0,0,0,0,0,0,-4620018499411.28,0,0,0,793271730009.011,41964436089439.6,41806989589041.3,31013679584948.9,-32751518639744.3,1737839053616.04,-5619181378679.35,-590467629843.54,-382984488316.052,42542171255201.9
160758970032177,0,0,0,0,0,0,0,-4612715774458.3,0,0,0,786893944168.577,41620499547155,41464343463652,31619152840918.5,-33342748730174.4,1723595889372.38,-5613561471269.24,-601126745655.757,-389898120507.383,42193499650069.1
125892541179427,0,0,0,0,0,0,0,-4769374553041.68,0,0,0,905270969822.215,47951294765310.1,47771386151139.9,22345660348216.1,-24331428311948.2,1985767961635.43,-5779027859037.41,-438664263605.56,-284522978143.245,48611452551320.5
0,-121736280030731,377493264130.309,0,0,-98251868554352.3,-23484411439103.9,0,-4718063995563.04,-572970162521.498,-375158751612.584,0,1168313674292.76,43324918529324.9,43162367630856.6,-71085154963541,-52445304675075,1794179606138.11,-5729207681298.24,-945521186009.569,-613276544407.538,43921383806377.9
0,-123071947099874,376954209027.386,0,0,-99084376160374,-23987570900827.9,0,-4714941837191.5,-585246193343.613,-383196622862.775,0,1162362048426.66,42981466011081.5,42820203713081.8,-71443950638300.1,-53407952949611.6,1779956486406.95,-5727664414086.59,-962876492527.536,-624533407357.516,43573202888779.4
0,-116176968701632,0,-28924508265364.5,-28831120755326.2,-104765179394533,-10563680894077.8,-848108415205.334,-5022256103874.24,-257731558419.353,-168752678639.66,-29785440455136.7,943873420952.201,30966273181890.8,30850090723788.5,-83350672261091.3,-34108677522040.2,1282381080145.12,-6056587356783.61,-614935453676.143,-398854616525.813,31392593815534.8
0,0,5286471311459.42,375319244623086,374107465003750,37946476500557.6,-48951379566643.3,11004903068065.9,-2713187050111.55,-1194310531426.06,-781988447760.589,386490546696998,5571284452676.56,294017549483912,292914424111210,48194341029109.8,-60370250619526,12175909592833.2,-3544229508508.87,-1088397737775.96,-705948014109.589,298065364575927
125892541179427,0,0,0,0,0,0,0,-3272541296442.52,0,0,0,848545748107.467,37970355609171.5,37827894511913.8,32046689862223.4,-33619125308278.5,1572435447860.6,-4129719328020.9,-606109458819.503,-393129968888.282,38493103243611.4
125892541179427,0,0,0,0,0,0,0,-3299681100245.74,0,0,0,857692211461.02,37783677039097.6,37641916341985.8,31860515754428.4,-33425220438908,1564704680111.51,-4163337426912.11,-602613604168.207,-390862515027.909,38303854621592.1
117127425181054,0,0,0,0,0,0,0,-3436261221447.58,0,0,0,934524417005.971,38636127693395.8,38491168683616.5,28214681822378.1,-29814688347084.8,1600006525580.22,-4314333906727.2,-537520368335.761,-348642250348.274,39168041182825.1
118797252786758,0,0,0,0,0,0,0,-3430766414783.26,0,0,0,926768517673.362,38309661506241,38165927366372.1,28760111771977.1,-30346598622298.2,1586486846972.26,-4310707327661.01,-547110024410.452,-354862217942.076,38837080452004
125892541179427,0,0,0,0,0,0,0,-3410459240640.65,0,0,0,895811690233.088,37003204566145.4,36864372126073,31085025990832.3,-32617409600533.6,1532383608492.78,-4300331015305.22,-588049816870.028,-381416265405.687,37512637183707.5
0,-90094409463998.7,378071127774.312,0,0,-72861583723844,-17232825715227.5,0,-3507859424791.85,-420444641601.381,-275290926444.538,0,1306994815755.83,39813896734131,39664518849293.5,-47966773355464.7,-43776416623493.4,1648780516764.88,-4397004226133.35,-789232317768.976,-511905683063.097,40362024872622.7
0,-91084727172841.9,377534875871.684,0,0,-73481760160038.8,-17602966984381.4,0,-3505451274449.69,-429475308766.267,-281203858810.497,0,1299889422513.01,39489818751699.4,39341656775780,-48157506350181.7,-44562580555174.3,1635359738906.07,-4396364113602.06,-803405839269.334,-521098801540.859,40033485225550.4
0,-113105227893864,0,-20200464572941.4,-20135244066758.1,-99133300933153.5,-13379620120807.2,-592306836757.811,-3678887039973.02,-326434542981.235,-213736741693.427,-20801727351610.8,957510121296.725,24718894397510.6,24626151499529.9,-69482573388861.5,-44646317970456.6,1023663464813.87,-4605483677336.76,-804915516843.543,-522077996783.053,25059205762871.5
0,0,5295418935667.46,277520720087001,276624699012484,27997822537488,-36135131421063.4,8137308884856.72,-2014281912646.32,-881621077748.364,-577251460118.45,285781068683144,5575836450202.28,229941767877167,229079048632345,37477162785032,-46999554162304.6,9522391375001.14,-2776942475706.18,-847341329575.346,-549595895069.134,233107435231797
125892541179427,0,0,0,0,0,0,0,-3272541296442.52,0,0,0,848545748107.467,37970355609171.5,37827894511913.8,32046689862223.4,-33619125308278.5,1572435447860.6,-4129719328020.9,-606109458819.503,-393129968888.282,38493103243611.4
125892541179427,0,0,0,0,0,0,0,-3299681100245.74,0,0,0,857692211461.02,37783677039097.6,37641916341985.8,31860515754428.4,-33425220438908,1564704680111.51,-4163337426912.11,-602613604168.207,-390862515027.909,38303854621592.1
117127425181054,0,0,0,0,0,0,0,-3436261221447.58,0,0,0,934524417005.971,38636127693395.8,38491168683616.5,28214681822378.1,-29814688347084.8,1600006525580.22,-4314333906727.2,-537520368335.761,-348642250348.274,39168041182825.1
118797252786758,0,0,0,0,0,0,0,-3430766414783.26,0,0,0,926768517673.362,38309661506241,38165927366372.1,28760111771977.1,-30346598622298.2,1586486846972.26,-4310707327661.01,-547110024410.452,-354862217942.076,38837080452004
125892541179427,0,0,0,0,0,0,0,-3410459240640.65,0,0,0,895811690233.088,37003204566145.4,36864372126073,31085025990832.3,-32617409600533.6,1532383608492.78,-4300331015305.22,-588049816870.028,-381416265405.687,37512637183707.5
